word,level,frequency_ranking,pos,pinyin,definitions,source
磅,7,5014,classifier,bàng,"scale (instrument for weighing) | to weigh | (loanword) pound (unit of weight, about 454 grams) | (printing) point (unit used to measure the size of type)",drkameleon
包,1,755,verb,bāo,to cover | to wrap | to hold | to include | to take charge of | to contract (to or for) | to hold or embrace,drkameleon
包,1,755,noun,bāo,package | wrapper | container | bag | bundle | packet,drkameleon
包庇,6,20727,verb,bāobì,to harbour evildoers; to cover up evil deeds,kaikki
包袱,7,9285,noun,bāofu,cloth wrapper | bundle wrapped in cloth | load; burden | punch line,kaikki
包裹,4,5432,verb,bāoguǒ,to wrap; to bind up,kaikki
包裹,4,5432,noun,bāoguǒ,package; parcel; bundle,kaikki
包含,4,5524,verb,bāohán,to contain; to include; to embody,kaikki
包括,4,788,verb,bāokuò,to include; to consist of,kaikki
包容,7,10708,verb,bāoróng,to forgive; to pardon | to contain; to hold | to tolerate; to put up with; to condone,kaikki
包围,5,5295,verb,bāowéi,to encircle; to surround | to surround one's enemy and attack them from the front and rear simultaneously,kaikki
包扎,7,14432,verb,bāozā,to wrap up; to bind up; to dress (a wound),kaikki
包装,5,4634,verb,bāozhuāng,to package; to pack; to wrap | to package,kaikki
包装,5,4634,noun,bāozhuāng,packaging; wrapping,kaikki
包子,1,16315,noun,bāozi,Chinese steamed stuffed bun; baozi | jiaozi dumpling | weak and useless person,kaikki
煲,7,14364,verb,bāo,to cook slowly over a low flame | pot | saucepan,drkameleon
薄,4,4129,adjective,bó | bò | báo,thin | cold in manner | indifferent | weak | light | infertile | meager | slight | weak | ungenerous or unkind | frivolous | to despise | to belittle | to look down on | to approach or near,drkameleon
薄弱,5,10648,adjective,bóruò,weak; frail; lacking,kaikki
宝,4,1908,noun,bǎo,jewel | gem | treasure,drkameleon
宝,4,1908,adjective,bǎo,precious,drkameleon
宝宝,4,1968,noun,bǎobao,baby; newborn | darling; honey (often said of a child or lover); sweetheart | silkworm | item; merchandise; product,kaikki
宝宝,4,1968,pronoun,bǎobao,a cute-sounding first-person pronoun usually used by females: I; me,kaikki
宝贝,4,1003,noun,bǎobèi,rare and precious seashell | cowry (family Cypraeidae) | treasure; valuable object | baby child; baby; bab | darling; honey (often said of a child or lover); sweetheart | silkworm | useless or queer person; good-for-nothing | eunuch's removed testicles and penis,kaikki
宝藏,7,11504,noun,bǎozàng,precious mineral deposits | treasure; valuable object; masterpiece,kaikki
宝藏,7,11504,verb,bǎocáng,"to collect (rare books, art treasures, etc.)",kaikki
宝贵,4,5572,adjective,bǎoguì,valuable; precious; valued,kaikki
宝贵,4,5572,verb,bǎoguì,to treasure; to value,kaikki
宝库,7,22455,noun,bǎokù,treasure-house; treasure trove; repository,kaikki
宝石,4,8615,noun,bǎoshí,gemstone,kaikki
饱,2,4742,verb,bǎo,to eat till full,drkameleon
饱,2,4742,adjective,bǎo,satisfied,drkameleon
饱和,7,19403,verb,bǎohé,to be or become saturated; to saturate,kaikki
饱经沧桑,6,86660,verb,bǎo jīng cāng sāng,having lived through many changes,drkameleon
饱经沧桑,6,86660,idiom,bǎojīngcāngsāng,to experience many vicissitudes; to have experienced many vicissitudes of life; to have lived through many changes,kaikki
饱满,7,16473,adjective,bǎomǎn,plump; full | full of,kaikki
保,3,1597,verb,bǎo,to defend; to protect; to keep | to guarantee; to ensure,drkameleon
保,3,1597,noun,bǎo,civil administration unit in the baojia 甲 system (old),drkameleon
保安,3,3028,verb,bǎo'ān,to ensure public safety | to ensure security,kaikki
保安,3,3028,noun,bǎo'ān,security guard; security man,kaikki
保持,3,644,verb,bǎochí,to keep; to maintain; to preserve; to remain; to stay; to exercise,kaikki
保存,3,3916,verb,bǎocún,"to preserve; to conserve; to keep | to save (a file, changes, etc.)",kaikki
