id,word,level,difficulty,pos,pinyin,definitions
10022,引用,7,7851,verb,yǐnyòng,to quote; to cite | to recommend and appoint
10022,引用,7,7851,noun,yǐnyòng,reference
7166,上班,1,1495,verb,shàngbān,to be on duty; to go to work; to begin one's work day; to begin one's shift | to be open (for business); to be trading
5749,勉强,7,6178,adjective,miǎnqiǎng,forced; inadequate; grudging; reluctant | passable; barely acceptable
5749,勉强,7,6178,adverb,miǎnqiǎng,reluctantly; in a forced manner; grudgingly
5749,勉强,7,6178,verb,miǎnqiǎng,to force somebody to do something | to make do; to do with difficulty
3330,好吃,1,2484,adjective,hǎochī | hàochī,delicious; delectable; tasty; scrumptious; yummy | fond of eating; gluttonous
4364,戒指,7,4707,noun,jièzhi,finger ring; ring
2388,非常,1,194,adverb,fēicháng,extremely; very; highly
2388,非常,1,194,adjective,fēicháng,unusual; special; not the run of the mill; extraordinary; exceptional | emergency
4379,姐姐,1,1513,noun,jiějie,elder sister; big sister | Term of address for a female not much older than oneself. | female servant | female domestic helper
6390,普通,2,1373,adjective,pǔtōng,"ordinary, plain, average, nothing special, general | common, universal, widespread"
5073,蓝色,2,2892,noun,lánsè,the color blue
10269,雨水,5,11013,noun,yǔshuǐ,rainwater | rainfall; precipitation
3174,桂花,7,50762,noun,guìhuā,sweet osmanthus (Osmanthus fragrans)
3461,红茶,3,21109,noun,hóngchá,black tea
4613,菊花,7,11719,noun,júhuā,chrysanthemum (plant or flower) | chrysanthemum (plant or flower); Chrysanthemum × morifolium | anus; asshole
548,博客,5,5862,noun,bókè,blog | blogger | social media platform (in general)
3975,茄子,6,10773,noun,qiézi,eggplant; aubergine | tomato
3975,茄子,6,10773,interjection,qiézi,cheese!
7461,时间,1,127,noun,shíjiān,time (the inevitable passing of events from past to present then future) | time (a measurement of a quantity of time; a numerical indication of a length of time) | a point in time | free time; leisure; spare time
10319,元素,6,4636,noun,yuánsù,element | element (an essential characteristic) | element (one of the objects in a set) | element (conceptual object in a markup language)
8331,统计,4,3473,noun,tǒngjì,statistics
8331,统计,4,3473,verb,tǒngjì,to add up | to count
4356,解析,7,18722,verb,jiěxī,to analyze; to dissect; to deconstruct; to review | to resolve (to find the IP address of a hostname)
24,爱护,4,10522,verb,àihù,to take good care of; to cherish; to show respect for; to protect
2002,动物,2,1438,noun,dòngwù,animal; creature | moving thing
6521,迁移,7,14712,verb,qiānyí,to move; to relocate
4503,精神,3,640,noun,jīngshén,spirit; soul; will | mind; mental state | drive; energy; vigor | essence; gist
4503,精神,3,640,adjective,jīngshén | jīngshen,spiritual; immaterial; cultural | mental; psychiatric; psychological | lively; active; brisk; in good spirits; spirited; energetic | pretty; handsome | cautious; alert | shrewd
4503,精神,3,640,verb,jīngshen,to wake up; to be awake
9604,言语,5,6771,noun,yányǔ,speech; spoken language
9604,言语,5,6771,verb,yányu,to speak; to say a word
8903,喜剧,5,5717,noun,xǐjù,comedy; farce
3108,管子,7,13105,noun,guǎnzi,tube; pipe | guan
5507,绿茶,3,15567,noun,lǜchá,green tea
5507,绿茶,3,15567,adjective,lǜchá,"pretty and innocent in appearance, but promiscuous, debauched, materialistic or cunning in nature"
7928,速度,3,1337,noun,sùdù,velocity | speed; rate; pace
8333,统一,4,3308,verb,tǒngyī,to unify; to unite; to integrate; to consolidate
8333,统一,4,3308,adjective,tǒngyī,unified; united; integrated; consolidated | centralised | consistent | unanimous
3761,火山,7,10871,noun,huǒshān,volcano
4697,军队,6,1868,noun,jūnduì,army; troops; forces
4524,警官,7,6793,noun,jǐngguān,police officer; constable
9772,一般,2,798,adjective,yībān,general; generic; typical | so-so; average | same; identical | simple
9772,一般,2,798,adverb,yībān,usually; in general; generally | (just) like | in the same degree
9799,一共,2,4765,adverb,yīgòng,altogether; in total; in all; in sum
9799,一共,2,4765,noun,yīgòng,Mao or pre-reform era of the People's Republic of China
4264,教育,2,1197,noun,jiàoyù,education; instruction; schooling
4264,教育,2,1197,verb,jiàoyù,to educate; to enlighten; to inculcate
9162,消息,3,448,noun,xiāoxi,message; news; information | sign; clue | hidden mechanical device that moves other parts of the contraption when touched | earpick
